iter	Passed	Remaining
0	1492	1192684
1	2522	1006424
2	3166	841138
3	4216	839008
4	4818	766090
5	5368	710417
6	6037	683923
7	6561	649634
8	6922	608409
9	7458	589213
10	7882	565402
11	8574	563079
12	8992	544376
13	9424	529131
14	9756	510606
15	10142	496977
16	10495	483413
17	10804	469378
18	11222	461291
19	11552	450551
20	11898	441385
21	12288	434581
22	12617	426254
23	12951	418780
24	13317	412834
25	13700	407848
26	14105	403839
27	14509	400057
28	14981	398293
29	15368	394463
30	16761	415795
31	17841	428188
32	18412	427948
33	18806	423697
34	19370	423379
35	19913	422610
36	20513	423012
37	20964	420392
38	21447	418502
39	21827	414729
40	22232	411563
41	22575	407428
42	22963	404257
43	23274	399896
44	23762	398683
45	24324	398703
46	24960	399891
47	25585	400838
48	26439	405218
49	26974	404610
50	27647	406033
51	28753	413614
52	29278	412661
53	29714	410504
54	30055	407115
55	30605	406611
56	31076	405088
57	31554	403680
58	32243	404957
59	32941	406278
60	33653	407705
61	34279	408036
62	34742	406434
63	35161	404355
64	35551	402001
65	35947	399775
66	36373	397936
67	36739	395494
68	37189	393997
69	37732	393492
70	38409	394371
71	38755	391861
72	39147	389869
73	39507	387597
74	40016	386828
75	40483	385654
76	40980	384792
77	41305	382338
78	41699	380572
79	42032	378290
80	42340	375840
81	42790	374677
82	43130	372587
83	43511	370887
84	43859	368938
85	44232	367233
86	44604	365551
87	44964	363806
88	45331	362143
89	45723	360711
90	46039	358702
91	46387	356982
92	46724	355208
93	47012	353091
94	47393	351711
95	47725	349985
96	48033	348118
97	48449	347060
98	48753	345216
99	49101	343711
100	49474	342405
101	49792	340738
102	50198	339693
103	50531	338171
104	50965	337340
105	51305	335908
106	51663	334608
107	52078	333689
108	52502	332835
109	52896	331804
110	53274	330684
111	53681	329755
112	54063	328686
113	54487	327878
114	54953	327332
115	55304	326106
116	55742	325400
117	56078	324112
118	56514	323416
119	56966	322812
120	57239	321202
121	57518	319653
122	58109	319839
123	58594	319435
124	59991	323955
125	60708	324744
126	60952	323000
127	61177	321183
128	61489	319841
129	61791	318461
130	62126	317273
131	62418	315877
132	62639	314139
133	62858	312414
134	63197	311306
135	63410	309592
136	63601	307795
137	63801	306061
138	64135	304988
139	64390	303555
140	64627	302055
141	64889	300687
142	65135	299257
143	65356	297735
144	65481	295794
145	65705	294323
146	65914	292803
147	66121	291292
148	66322	289773
149	66516	288238
150	66727	286794
151	66996	285617
152	67213	284228
153	67413	282785
154	67482	280814
155	67677	279386
156	67910	278130
157	68153	276928
158	68410	275791
159	68656	274625
160	68865	273323
161	69092	272106
162	69329	270937
163	69553	269733
164	69760	268472
165	69954	267174
166	70172	265983
167	70381	264767
168	70594	263580
169	70838	262519
170	71033	261285
171	71278	260250
172	71520	259211
173	71745	258119
174	71942	256936
175	72124	255713
176	72311	254519
177	72502	253350
178	72686	252169
179	72881	251034
180	73067	249883
181	73257	248752
182	73437	247601
183	73629	246497
184	73878	245596
185	74081	244548
186	74266	243449
187	74452	242366
188	74660	241362
189	74860	240340
190	75049	239294
191	75226	238216
192	75407	237162
193	75646	236297
194	75829	235266
195	76003	234215
196	76201	233246
197	76423	232358
198	76671	231555
199	76898	230694
200	77111	229799
201	77329	228926
202	77518	227974
203	77692	226983
204	77893	226081
205	78123	225269
206	78327	224388
207	78514	223463
208	78753	222696
209	78999	221952
210	79202	221092
211	79438	220329
212	79646	219494
213	79864	218693
214	80083	217902
215	80298	217104
216	80492	216254
217	80680	215394
218	80930	214706
219	81159	213967
220	81353	213137
221	81583	212412
222	81781	211605
223	81963	210762
224	82161	209968
225	82352	209161
226	82541	208354
227	82748	207596
228	82933	206789
229	83132	206025
230	83362	205337
231	83575	204615
232	83762	203834
233	83981	203133
234	84180	202390
235	84362	201612
236	84553	200859
237	84775	200184
238	84990	199497
239	85187	198771
240	85367	198010
241	85554	197269
242	85746	196545
243	85934	195817
244	86150	195156
245	86386	194545
246	86557	193790
247	86751	193092
248	86907	192313
249	87100	191620
250	87283	190909
251	87469	190210
252	87646	189496
253	87837	188816
254	88035	188153
255	88235	187500
256	88433	186846
257	88640	186213
258	88835	185560
259	89025	184899
260	89216	184244
261	89387	183550
262	89565	182876
263	89744	182207
264	89943	181583
265	90140	180959
266	90329	180320
267	90534	179718
268	90724	179088
269	90896	178426
270	91101	177832
271	91286	177203
272	91448	176532
273	91633	175910
274	91808	175271
275	92001	174669
276	92187	174058
277	92381	173464
278	92575	172873
279	92746	172244
280	92937	171652
281	93102	171017
282	93286	170420
283	93453	169796
284	93624	169180
285	93792	168563
286	93977	167979
287	94166	167406
288	94355	166835
289	94534	166250
290	94718	165675
291	94882	165070
292	95038	164453
293	95205	163857
294	95394	163302
295	95575	162735
296	95759	162178
297	95946	161628
298	96124	161064
299	96299	160498
300	96456	159906
301	96634	159351
302	96821	158813
303	97006	158274
304	97208	157764
305	97381	157210
306	97549	156651
307	97714	156089
308	97886	155541
309	98062	155001
310	98258	154495
311	98449	153985
312	98651	153493
313	98838	152979
314	99022	152463
315	99223	151975
316	99389	151435
317	99574	150926
318	99792	150470
319	100006	150010
320	100190	149506
321	100398	149038
322	100695	148705
323	100960	148325
324	101246	147975
325	101505	147587
326	101752	147182
327	101961	146725
328	102161	146255
329	102376	145808
330	102615	145398
331	102942	145112
332	103301	144869
333	103706	144692
334	104413	144932
335	104809	144737
336	105318	144696
337	105723	144509
338	106103	144288
339	106537	144138
340	107016	144048
341	107367	143785
342	107808	143639
343	108264	143514
344	108718	143382
345	109234	143330
346	109597	143076
347	110093	142994
348	110615	142944
349	111081	142818
350	111506	142639
351	111977	142516
352	112447	142391
353	112913	142258
354	113277	141995
355	113708	141816
356	114071	141551
357	114646	141547
