,missing_rate
employment_occupation,0.5043621522447298
employment_industry,0.4991200808776725
health_insurance,0.45957988542329725
income_poverty,0.16561201183210394
doctor_recc_seasonal,0.08087767252031303
doctor_recc_h1n1,0.08087767252031303
rent_or_own,0.07645935522522185
employment_status,0.05477964578574906
marital_status,0.05272026060583368
education,0.05268281723892612
chronic_med_condition,0.03635750926723331
child_under_6_months,0.03070356086419291
health_worker,0.03010446699367207
opinion_seas_sick_from_vacc,0.0201070880293556
opinion_seas_risk,0.019245890590481898
opinion_seas_vacc_effective,0.017298835511289176
opinion_h1n1_sick_from_vacc,0.01479012992848317
opinion_h1n1_vacc_effective,0.01464035646085296
opinion_h1n1_risk,0.014528026360130303
household_adults,0.00932339835998053
household_children,0.00932339835998053
behavioral_avoidance,0.007788220316770884
behavioral_touch_face,0.004792750964166698
h1n1_knowledge,0.00434343056127607
h1n1_concern,0.003444789755494814
behavioral_large_gatherings,0.0032575729209570526
behavioral_outside_home,0.0030703560864192908
behavioral_antiviral_meds,0.002658479050436215
behavioral_wash_hands,0.0015726214101171978
behavioral_face_mask,0.0007114239712434942
age_group,0.0
race,0.0
sex,0.0
census_msa,0.0
hhs_geo_region,0.0
